article	section	paragraph	sentence_idx	sentence_text	statement_idx	statement	John	Corrected Statement John	Kim	Corrected Statement Kim	Lucia	Corrected Statement Lucia	Gold	Corrected Statement Gold
			3	Generative grammar advocates emphasize the way that utterances are generated by combining individual words as needed (Hauser et al. 2002; Newmeyer 2010, and many others).	1	Generative grammar advocates emphasize that utterances are generated by combining individual words as needed (Hauser et al. 2002; Newmeyer 2010, and many others).	ok		ok		ok		ok	
			4	In contrast, emergent grammar advocates emphasize that prefabricated sequences of abstract and concrete linguistic forms are recycled (Thompson 2002; Ellis 2008; Beckner et al. 2009; Bybee 2010; Dąbrowska 2014, and many others; see MacWhinney & O’Grady 2015 and references therein).	1	Emergent grammar advocates emphasize that prefabricated sequences of abstract and concrete linguistic forms are recycled (Thompson 2002; Ellis 2008; Beckner et al. 2009; Bybee 2010; Dąbrowska 2014, and many others; see MacWhinney & O’Grady 2015 and references therein).	ok		ok		ok		ok	
		Consider Dąbrowska’s (2010) example (9a), repeated here as (1a). This sentence illustrates the long-distance dependency between the wh word in the main clause and the trace in the object position for the verb do in the subordinate clause. Dąbrowska points out that word choice in sentences with long-distance dependencies in natural conversation is constrained; that is, the main clause auxiliary in such sentences is do over 90% of the time, the subject is you about 90% of the time, and the verb is think or say about 90% of the time. Dąbrowska gave several more examples that illustrated these tendencies, and we have repeated two of them as (1b) and (1c). She concludes that utterances with long-distance dependencies followed specific templates most of the time, and emerged frequently because “they are psychologically more basic than non-prototypical ones… prototypical questions are produced more fluently, judged to be more acceptable, remembered better and acquired earlier by children” (Dąbrowska 2010: 63).	2	This sentence illustrates the long-distance dependency between the wh word in the main clause and the trace in the object position for the verb do in the subordinate clause.	1	Dąbrowska’s (2010) example (9a), repeated as (1a) in this article, illustrates the long-distance dependency between the wh-word in the main clause and the trace in the object position for the verb 'do' in the subordinate clause.	problem	(example sentence not filled in)	problem	there is a relation... (dabrowska 2010)	problem		problem	There can be a long-distance dependency between the wh-word in the main clause and the trace in the object position for the verb 'do' in the subordinate clause.
			3	Dąbrowska points out that word choice in sentences with long-distance dependencies in natural conversation is constrained; that is, the main clause auxiliary in such sentences is do over 90% of the time, the subject is you about 90% of the time, and the verb is think or say about 90% of the time.	1	Dąbrowska (2010) points out that word choice in sentences with long-distance dependencies in natural conversation is constrained.	ok		ok	better the statement then ref	ok		ok	lucia todo
					2	Dąbrowska (2010) points out that the main clause auxiliary in sentences with long-distance dependencies in natural conversation is 'do' over 90% of the time.	ok		ok		ok		ok	
					3	Dąbrowska (2010) points out that the subject in sentences with long-distance dependencies in natural conversation is 'you' about 90% of the time.	ok		ok		ok		ok	
					4	Dąbrowska (2010) points out that the verb in sentences with long-distance dependencies in natural conversation is 'think' or 'say' about 90% of the time.	ok		ok		ok		ok	
			4	Dąbrowska gave several more examples that illustrated these tendencies, and we have repeated two of them as (1b) and (1c).	1	Dąbrowska (2010) gave several more examples that illustrated the tendencies for word choice (main clause auxiliary 'do', subject 'you', verb 'think' or 'say') in sentences with long-distance dependencies in natural conversation.	problem	(example sentence not filled in)	ok	no "more"	problem	Dąbrowska (2010) gave examples that illustrated the tendencies for word choice (main clause auxiliary 'do', subject 'you', verb 'think' or 'say') in sentences with long-distance dependencies in natural conversation.	problem	Dąbrowska (2010) gave examples that illustrated the tendencies for word choice (main clause auxiliary 'do', subject 'you', verb 'think' or 'say') in sentences with long-distance dependencies in natural conversation.
					2	The authors of this article have repeated two of Dąbrowska's (2010) examples (1b) and (1c).	problem	(example sentence not filled in)	ok		problem		problem	The authors of this article have repeated two of Dąbrowska's (2010) examples
			5	She concludes that utterances with long-distance dependencies followed specific templates most of the time, and emerged frequently because “they are psychologically more basic than non-prototypical ones… prototypical questions are produced more fluently, judged to be more acceptable, remembered better and acquired earlier by children” (Dąbrowska 2010: 63).	1	Dąbrowska (2010) concludes that utterances with long-distance dependencies followed specific templates most of the time.	ok		ok	concludes --> states	ok		ok	Dąbrowska (2010) states that utterances with long-distance dependencies followed specific templates most of the time.
					2	Dąbrowska (2010) concludes that utterances with long-distance dependencies emerged frequently because they are psychologically more basic than non-prototypical ones (Dąbrowska 2010: 63).	ok		ok		problem	Dąbrowska (2010) concludes that utterances with long-distance dependencies emerged frequently because  “they are psychologically more basic than non-prototypical ones… prototypical questions are produced more fluently, judged to be more acceptable, remembered better and acquired earlier by children” (Dąbrowska 2010: 63).	ok	Dąbrowska (2010) states that utterances with long-distance dependencies emerged frequently because  “they are psychologically more basic than non-prototypical ones… prototypical questions are produced more fluently, judged to be more acceptable, remembered better and acquired earlier by children” (Dąbrowska 2010: 63).
					3	Dąbrowska (2010) concludes that prototypical questions are produced more fluently (Dąbrowska 2010: 63).	ok		ok		problem		ok	all the rest as Ls
					4	Dąbrowska (2010) concludes that prototypical questions are judged to be more acceptable (Dąbrowska 2010: 63).	ok		ok		problem		ok	
					5	Dąbrowska (2010) concludes that prototypical questions are remembered better (Dąbrowska 2010: 63).	ok		ok		problem		ok	
					6	Dąbrowska (2010) concludes that prototypical questions are acquired earlier by children (Dąbrowska 2010: 63).	ok		ok		problem		ok	
glossa-5217-bîlbîie	Title and Abstract	This paper discusses the No Embedding Constraint, considered to be a strong syntactic constraint on gapping and a diagnostic for this ellipsis type. As shown by two acceptability judgments tasks in Spanish, the assumptions related to the No Embedding Constraint are not borne out by our experimental results. Embedded gapping is acceptable in Spanish, and seems to be governed by a (more general) semantic constraint. Specifically, some predicates embed more easily than others, confirming, on the one hand, the asymmetry between non-factive and factive predicates, and, on the other hand, the dichotomy between semi-factive and true factive predicates. Embedded gapping and embedded coordinated clauses in general are thus sensitive to the semantic class of the embedding predicate. We argue that our data on embedded gapping in Spanish constitute a challenge for any Small Conjunct Gapping approach (in terms of subclausal/low coordination) and give support to a Large Conjunct Gapping approach (in terms of clausal/high coordination). In this paper, we adopt a constructional fragment-based analysis of gapping, which treats non-embedded and embedded gapping uniformly. More generally, this paper suggests that gapping is more similar to other ellipsis types than has been traditionally assumed.	1	This paper discusses the No Embedding Constraint, considered to be a strong syntactic constraint on gapping and a diagnostic for this ellipsis type.	1	The No Embedding Constraint is considered to be a strong syntactic constraint on gapping.	ok		ok		ok		ok	
					2	The No Embedding Constraint is considered to be a diagnostic for gapping.	ok		ok		ok		ok	
			2	As shown by two acceptability judgments tasks in Spanish, the assumptions related to the No Embedding Constraint are not borne out by our experimental results.	1	Assumptions related to the No Embedding Constraint are not borne out by experimental results from two acceptability judgments tasks in Spanish.	ok		ok		ok		ok	
			3	Embedded gapping is acceptable in Spanish, and seems to be governed by a (more general) semantic constraint.	1	Embedded gapping is acceptable in Spanish.	ok		ok		ok		ok	
					2	Embedded gapping seems to be governed by a general semantic constraint.	ok		problem		problem	Embedded gapping in Spanish seems to be governed by a general semantic constraint.	problem	Embedded gapping in Spanish seems to be governed by a general semantic constraint.
			4	Specifically, some predicates embed more easily than others, confirming, on the one hand, the asymmetry between non-factive and factive predicates, and, on the other hand, the dichotomy between semi-factive and true factive predicates.	1	Some predicates embed more easily than others.	ok		problem	In Spanish, ...	problem		problem	in spanish
					2	The observation that some predicates embed more easily than others confirms the asymmetry between non-factive and factive predicates.	ok		problem		problem		problem	
					3	The observation that some predicates embed more easily than others confirms the dichotomy between semi-factive and true factive predicates.	ok		problem		problem		problem	
			5	Embedded gapping and embedded coordinated clauses in general are thus sensitive to the semantic class of the embedding predicate.	1	Embedded gapping is sensitive to the semantic class of the embedding predicate.	ok		ok		ok		ok	
					2	Embedded coordinated clauses in general are sensitive to the semantic class of the embedding predicate.	ok		ok		ok		ok	
			6	We argue that our data on embedded gapping in Spanish constitute a challenge for any Small Conjunct Gapping approach (in terms of subclausal/low coordination) and give support to a Large Conjunct Gapping approach (in terms of clausal/high coordination).	1	Data on embedded gapping in Spanish constitute a challenge for any Small Conjunct Gapping approach (in terms of subclausal/low coordination).	ok		ok		ok		ok	
					2	Data on embedded gapping in Spanish give support to a Large Conjunct Gapping approach (in terms of clausal/high coordination).	ok		ok		ok		ok	
			7	In this paper, we adopt a constructional fragment-based analysis of gapping, which treats non-embedded and embedded gapping uniformly.	1	A constructional fragment-based analysis of gapping is adopted.	ok	(Type S)	problem	In this paper,	ok		problem	A constructional fragment-based analysis of gapping can be adopted.
					2	The adopted constructional fragment-based analysis of gapping treats non-embedded and embedded gapping uniformly.	problem	A constructional fragment-based analysis of gapping treats non-embedded and embedded gapping uniformly.	problem	In this paper,	ok		problem	Constructional fragment-based analysis of gapping treats non-embedded and embedded gapping uniformly.
			8	More generally, this paper suggests that gapping is more similar to other ellipsis types than has been traditionally assumed.	1	Gapping is more similar to other ellipsis types than has been traditionally assumed.	ok		ok		ok		ok	
glossa-4968-childs		Integrating syntactic theory and variationist analysis: The structure of negative indefinites in regional dialects of British English	1	Integrating syntactic theory and variationist analysis: The structure of negative indefinites in regional dialects of British English	1	The paper integrates syntactic theory and variationist analysis in its examination of the structure of negative indefinites in regional dialects of British English.	ok		ok		ok		ok	
		This paper integrates syntactic theory and variationist analysis in an investigation of the variation between English not-negation (I don’t have any money), no-negation (I have no money) and negative concord (I don’t have no money). Using corpora of three varieties of UK English spoken in Glasgow, Tyneside and Salford respectively, I test two theoretical accounts of the variation. Account 1 applies Zeijlstra’s (2004) agreement-based theory of negative concord to all three variants, such that n-words (e.g. nobody) which feature in no-negation and negative concord are not inherently negative but agree with a negative operator in a higher NegP. Under Account 2, no-negation is instead derived via negative-marking within the DP followed by movement to the higher NegP for sentential scope (Kayne 1998; Svenonius 2002; Zeijlstra 2011). These accounts, together with observations about the raising properties of functional versus lexical verbs, lead to the formulation of different hypotheses about the distribution of variants in speech according to verb type, verb phrase complexity, and the discourse status of the propositions expressed. Results of distributional analysis and mixed-effects modelling support Account 2 of the variation over Account 1, suggesting structural identity between not-negation and negative concord (in contrast to no-negation). This supports Tubau’s (2016) proposal that English negative indefinites have two distinct structures: one in which negation is marked syntactically in the DP and one in which they agree with a syntactically-higher NegP.		This paper integrates syntactic theory and variationist analysis in an investigation of the variation between English not-negation (I don’t have any money), no-negation (I have no money) and negative concord (I don’t have no money).	1	The paper integrates syntactic theory and variationist analysis in an investigation of the variation between English not-negation (I don’t have any money), no-negation (I have no money) and negative concord (I don’t have no money).	ok		ok	Missing the examples: ... is an example of...	ok		ok	I don't have any money' is an example of English not-negation,...
			2	Using corpora of three varieties of UK English spoken in Glasgow, Tyneside and Salford respectively, I test two theoretical accounts of the variation.	1	The research tests two theoretical accounts of the variation between English not-negation, no-negation, and negative concord, using corpora of three varieties of UK English spoken in Glasgow, Tyneside, and Salford respectively.	ok		ok		problem	The research tests two theoretical accounts of the variation between English not-negation, no-negation, and negative concord, using a corupus of the varietie of UK English spoken in Glasgow. The research tests two theoretical accounts of the variation between English not-negation, no-negation, and negative concord, using a corupus of the varietie of UK English spoken in Tyneside. The research tests two theoretical accounts of the variation between English not-negation, no-negation, and negative concord, using a corupus of the varietie of UK English spoken in Salford.	problem	The research tests two theoretical accounts of the variation between English not-negation, no-negation, and negative concord, using a corupus of the varietie of UK English spoken in Glasgow. The research tests two theoretical accounts of the variation between English not-negation, no-negation, and negative concord, using a corupus of the varietie of UK English spoken in Tyneside. The research tests two theoretical accounts of the variation between English not-negation, no-negation, and negative concord, using a corupus of the varietie of UK English spoken in Salford.
			3	Account 1 applies Zeijlstra’s (2004) agreement-based theory of negative concord to all three variants, such that n-words (e.g. nobody) which feature in no-negation and negative concord are not inherently negative but agree with a negative operator in a higher NegP.	1	Account 1, following Zeijlstra's (2004) agreement-based theory of negative concord, applies to English not-negation, no-negation, and negative concord, proposing that negative words (n-words) (e.g. nobody) which feature in no-negation and negative concord are not inherently negative but agree with a negative operator in a higher Negation Phrase (NegP).	ok		ok	Account 1 of this paper...	problem	not atomic. Account 1 is the first test?	problem	...
			4	Under Account 2, no-negation is instead derived via negative-marking within the DP followed by movement to the higher NegP for sentential scope (Kayne 1998; Svenonius 2002; Zeijlstra 2011).	1	Under Account 2, no-negation is derived via negative-marking within the determiner phrase (DP) followed by movement to the higher Negation Phrase (NegP) for sentential scope (Kayne 1998; Svenonius 2002; Zeijlstra 2011).	ok		ok		ok		ok	
			5	These accounts, together with observations about the raising properties of functional versus lexical verbs, lead to the formulation of different hypotheses about the distribution of variants in speech according to verb type, verb phrase complexity, and the discourse status of the propositions expressed.	1	Account 1 and Account 2, together with observations about the raising properties of functional versus lexical verbs, lead to the formulation of different hypotheses about the distribution of not-negation, no-negation, and negative concord in speech according to verb type, verb phrase complexity, and the discourse status of the propositions expressed.	ok		ok		ok	not sure	ok	
			6	Results of distributional analysis and mixed-effects modelling support Account 2 of the variation over Account 1, suggesting structural identity between not-negation and negative concord (in contrast to no-negation).	1	Results of distributional analysis and mixed-effects modelling support Account 2 of the variation between English not-negation, no-negation, and negative concord over Account 1.	ok		ok		problem	should be one positive and one negative	problem	
					2	Results of distributional analysis and mixed-effects modelling suggest structural identity between not-negation and negative concord, in contrast to no-negation.	ok		ok	There is a structural identity...	problem	should be one positive and one negative	problem	
			7	This supports Tubau’s (2016) proposal that English negative indefinites have two distinct structures: one in which negation is marked syntactically in the DP and one in which they agree with a syntactically-higher NegP.	1	The support for Account 2 over Account 1, suggesting structural identity between not-negation and negative concord, supports Tubau’s (2016) proposal that English negative indefinites have two distinct structures: one in which negation is marked syntactically in the determiner phrase (DP) and one in which they agree with a syntactically-higher Negation Phrase (NegP).	ok		ok		problem	not atomic	problem	
	1 Introduction	Negation is a fervently-debated phenomenon within formal syntactic enquiry, as it is a universal property of language that is, at the same time, highly variable in terms of how it is expressed (Mazzon 2004: 94). The variability of negation also makes it an intriguing object of study for variationist sociolinguists, given their interest in the factors that condition speakers’ choices between linguistic forms that convey the same meaning (Tagliamonte 2006). Formal syntactic theory and variationist sociolinguistics are often depicted as somewhat incompatible “opposites”, because of their respective focus on linguistic competence and general linguistic principles on the one hand, versus performance and variability on the other (Wilson and Henry 1998). However, recent studies have advocated bridging the gap between the two in analysing morpho-syntactic variation and change (Wilson and Henry 1998; Adger and Smith 2005; 2010; Cornips and Corrigan 2005a; b; Adger and Trousdale 2007; Buchstaller et al. 2013; Burnett et al. under review), with Barbiers (2005: 235) suggesting that “it is the task of sociolinguists to describe and explain the patterns of variation that occur within a linguistic community given the theoretical limits of this variation uncovered by generative linguistics [emphasis mine]”. This paper takes such an approach and argues that integrating formal theory into variationist analysis of morpho-syntactic variation allows for: (i) more careful delimitation of the linguistic variable and its contexts, taking into consideration the constraints of the grammar; (ii) theoretically-informed decision-making as to the inclusion and exclusion of tokens; and (iii) using production data to test hypotheses that can elucidate how variants are derived from the grammar. Adopting this approach, my investigation focuses specifically on the alternation between not-negation (1), no-negation (2) and negative concord (3) in English.1	1	Negation is a fervently-debated phenomenon within formal syntactic enquiry, as it is a universal property of language that is, at the same time, highly variable in terms of how it is expressed (Mazzon 2004: 94).	1	Negation is a fervently-debated phenomenon within formal syntactic enquiry (Mazzon 2004: 94).	ok		ok	no ref	ok		ok	
					2	Negation is a universal property of language (Mazzon 2004: 94).	ok		ok	no ref	ok		ok	
					3	Negation is highly variable in terms of how it is expressed (Mazzon 2004: 94).	ok		ok		ok		ok	
			2	The variability of negation also makes it an intriguing object of study for variationist sociolinguists, given their interest in the factors that condition speakers’ choices between linguistic forms that convey the same meaning (Tagliamonte 2006).	1	The variability of negation is an intriguing object of study for variationist sociolinguists.	ok		ok		ok		ok	
					2	Variationist sociolinguists are interested in the factors that condition speakers’ choices between linguistic forms that convey the same meaning (Tagliamonte 2006).	ok		ok		ok		ok	
			3	Formal syntactic theory and variationist sociolinguistics are often depicted as somewhat incompatible “opposites”, because of their respective focus on linguistic competence and general linguistic principles on the one hand, versus performance and variability on the other (Wilson and Henry 1998).	1	Formal syntactic theory and variationist sociolinguistics are often depicted as somewhat incompatible 'opposites' (Wilson and Henry 1998).	ok		ok		ok		ok	
					2	Formal syntactic theory focuses on linguistic competence and general linguistic principles (Wilson and Henry 1998).	ok		ok		ok		ok	
					3	Variationist sociolinguistics focuses on performance and variability (Wilson and Henry 1998).	ok		ok		ok		ok	
			4	However, recent studies have advocated bridging the gap between the two in analysing morpho-syntactic variation and change (Wilson and Henry 1998; Adger and Smith 2005; 2010; Cornips and Corrigan 2005a; b; Adger and Trousdale 2007; Buchstaller et al. 2013; Burnett et al. under review), with Barbiers (2005: 235) suggesting that “it is the task of sociolinguists to describe and explain the patterns of variation that occur within a linguistic community given the theoretical limits of this variation uncovered by generative linguistics [emphasis mine]”.	1	Recent studies have advocated bridging the gap between formal syntactic theory and variationist sociolinguistics in analysing morpho-syntactic variation and change (Wilson and Henry 1998; Adger and Smith 2005; 2010; Cornips and Corrigan 2005a; b; Adger and Trousdale 2007; Buchstaller et al. 2013; Burnett et al. under review).	ok		ok		ok	atomic?	ok	
					2	Barbiers (2005: 235) suggests that it is the task of sociolinguists to describe and explain the patterns of variation that occur within a linguistic community given the theoretical limits of the patterns of variation uncovered by generative linguistics.	ok		ok		problem	Barbiers (2005: 235) says that “it is the task of sociolinguists to describe and explain the patterns of variation that occur within a linguistic community given the theoretical limits of this variation uncovered by generative linguistics [emphasis mine]”.	ok	Barbiers (2005: 235) says that “it is the task of sociolinguists to describe and explain the patterns of variation that occur within a linguistic community given the theoretical limits of this variation uncovered by generative linguistics [emphasis mine]”.
			5	This paper takes such an approach and argues that integrating formal theory into variationist analysis of morpho-syntactic variation allows for: (i) more careful delimitation of the linguistic variable and its contexts, taking into consideration the constraints of the grammar; (ii) theoretically-informed decision-making as to the inclusion and exclusion of tokens; and (iii) using production data to test hypotheses that can elucidate how variants are derived from the grammar.	1	Integrating formal theory into variationist analysis of morpho-syntactic variation allows for more careful delimitation of the linguistic variable and its contexts, taking into consideration the constraints of the grammar.	ok		ok		ok		ok	
					2	Integrating formal theory into variationist analysis of morpho-syntactic variation allows for theoretically-informed decision-making as to the inclusion and exclusion of tokens.	ok		ok		ok		ok	
					3	Integrating formal theory into variationist analysis of morpho-syntactic variation allows for using production data to test hypotheses that can elucidate how variants are derived from the grammar.	ok		ok		ok		ok	
			6	Adopting this approach, my investigation focuses specifically on the alternation between not-negation (1), no-negation (2) and negative concord (3) in English.1	1	The investigation, adopting the approach of integrating formal theory into variationist analysis of morpho-syntactic variation, focuses specifically on the alternation between not-negation, no-negation, and negative concord in English.	ok		ok		ok		ok	
